name,iseu,latitude,longitude
Slovenia,True,46.0,15.0
Solomon Islands,,-8.0,159.0
Somalia,,10.0,49.0
South Africa,,-29.0,24.0
South Georgia and the South Sandwich Islands,,-54.5,-37.0
South Korea,,37.0,127.5
South Sudan,,8.0,30.0
Spain,True,40.0,-4.0
Sri Lanka,,7.0,81.0
Sudan,,15.0,30.0
Suriname,,4.0,-56.0
Svalbard and Jan Mayen,,78.0,20.0
Sweden,True,62.0,15.0
Switzerland,,47.0,8.0
Syria,,35.0,38.0
Taiwan,,23.5,121.0
Tajikistan,,39.0,71.0
Tanzania,,-6.0,35.0
Thailand,,15.0,100.0
Timor-Leste,,-8.55,125.5167
Togo,,8.0,1.1667
Tokelau,,-9.0,-172.0
Tonga,,-20.0,-175.0
Trinidad and Tobago,,11.0,-61.0
Tunisia,,34.0,9.0
Turkmenistan,,40.0,60.0
Turks and Caicos Islands,,21.75,-71.5833
Tuvalu,,-8.0,178.0
Türkiye,,39.0,35.0
Uganda,,1.0,32.0
Ukraine,,49.0,32.0
United Arab Emirates,,24.0,54.0
United Kingdom,,54.0,-2.0
United States,,38.0,-97.0
United States Minor Outlying Islands,,19.2833,166.6
Uruguay,,-33.0,-56.0
Uzbekistan,,41.0,64.0
Vanuatu,,-16.0,167.0
Venezuela,,8.0,-66.0
Vietnam,,16.0,106.0
"Virgin Islands, British",,18.5,-64.5
"Virgin Islands, U.S.",,18.3333,-64.8333
Wallis and Futuna,,-13.3,-176.2
Western Sahara,,24.5,-13.0
Yemen,,15.0,48.0
Zambia,,-15.0,30.0
Zimbabwe,,-20.0,30.0
Others,,,
